Outcome,Percentile,Theta_Oracle,Variance_Oracle,Lower_CI_Oracle,Upper_CI_Oracle,Theta_Surrogate,Variance_Surrogate,Lower_CI_Surrogate,Upper_CI_Surrogate,Theta_Latent_Unconfounded,Variance_Latent_Unconfounded,Lower_CI_Latent_Unconfounded,Upper_CI_Latent_Unconfounded
z_score5,55,-0.039725298969309326,14.935276804914464,-0.21107858976646576,0.13162799182784712,-0.03935512349970666,37.99910269152224,-0.15983112261576224,0.08112087561634893,0.003672087526168192,44.382776184715944,-0.12653094461047157,0.13387511966280793
z_score5,65,-0.07327429173462384,14.540516114123406,-0.24234786151410076,0.0957992780448531,-0.06972338278696187,42.49255070980952,-0.1971236288012353,0.05767686322731154,-0.03930247616431396,50.926348318862,-0.17877386771781759,0.10016891538918968
z_score5,75,-0.09859604286315246,16.433738099123833,-0.2783398731125403,0.0811477873862354,-0.08589096900574472,62.19565125895193,-0.24002334591909086,0.06824140790760141,-0.07762074581020552,73.39649930309524,-0.24505778633326764,0.08981629471285661
z_score5,85,-0.03326628680355951,17.977911189397584,-0.22126523810097723,0.15473266449385822,0.02890154757404573,112.86032997492869,-0.17872578465142896,0.23652887979952042,-0.001469126238191792,130.64677139396358,-0.22485885808497103,0.22192060560858745
z_score5,95,0.16581427249976777,41.04488212650984,-0.11824915159692095,0.4498776965964565,0.26272383242844694,488.24990081395543,-0.1691281800740722,0.694575844930966,0.18442827833434977,583.8585022914864,-0.2878170500285403,0.6566736066972398
z_score6,5,0.19969457162772516,28.360627582238443,-0.03643138467444987,0.4358205279299002,0.5720025076174602,363.0655011142066,0.19960534972255445,0.9443996655123659,0.5269602514341161,427.14497997205643,0.12303452072844745,0.9308859821397847
z_score6,15,-0.019524936211770823,16.049784225981632,-0.19715661093639072,0.1581067385128491,0.05135409641481872,63.70832376875953,-0.10464136219091075,0.2073495550205482,0.00516707527743714,82.57064444686992,-0.1724262761543881,0.1827604267092624
z_score6,25,0.041796019595444524,13.972720554677885,-0.12394358487864912,0.20753562406953815,0.15485518077929436,26.558420037206027,0.05413535089455909,0.25557501066402966,0.13285093400381756,37.60818394682464,0.01299624008799366,0.25270562791964146
z_score6,35,0.053634199909998105,14.859402150000088,-0.11728327953435419,0.2245516793543504,0.10328649685950479,23.115777215213427,0.009321064577131319,0.19725192914187828,0.11974137350476657,30.86930007655748,0.011154517913981005,0.22832822909555214
z_score6,45,0.056499459826766706,16.618827994280753,-0.12425374563205163,0.23725266528558506,0.017353818778973636,28.547811507606326,-0.08707016949754062,0.12177780705548788,0.05374782576817785,36.426228789942414,-0.06420842809472696,0.17170407963108267
